supplier_id;name;swsdfid;swsdfusdid;swsdpid;navid;swsdfid_ari;swsdpid_ari
448;TJ11511 TBN TIME(JOHN GALLIANO);0;0;15946230;0;(null);(null)
449;T22299 TBN TIME(MOSCHINO);0;0;14115684;0;(null);(null)
450;TS11511 TBN TIME(SEIKO);0;0;15946227;0;(null);(null)
451;T76543 TINTAMAR;0;0;14832865;0;(null);(null)
452;E55546 TORRE EXILITI;0;0;16165067;0;(null);(null)
453;T4512SK TOSCOW;0;0;15975543;0;(null);(null)
454;V54321 VALENTINO - едхмюъ ебпною;0;0;14344790;0;(null);(null)
455;V32100 VERSACE - едхмюъ ебпною;0;0;14008191;0;(null);(null)
456;WA55555 WATERMAN;0;0;15407861;0;(null);(null)
457;W22222 WHTEHOUSE LEISURE LLP;0;0;14867976;0;(null);(null)
458;AL55544 юкэ рпеид;0;0;16223429;I_SUP399;(null);(null)
