supplier_id;name;swsdfid;swsdpid;Vendor No_
486;R00368 пейя рпеидхмц нюн;0;16064643;
864;R10047+ BIONT LTD RBN;10924126;0;
865;R10053 REMY MARTIN;10907533;0;
1011;R10060 BVLGARI;10907277;16032127;
432;R11133 RICH бхйрнпхъ;0;16222765;
259;R12345 RATTI COLLECTION;0;10910007;
869;R12345 RUSSIAN OSETR;22575112;0;
870;R12369 RADO WATCHES;10907424;0;
871;R16900 ITIL (REEMTSMA INT);10907469;0;
1130;R20012 RANCE;40530149;15233566;
873;R25255 ROTOR HOUSE;32030767;0;
1108;R35840 N.RICCI PUIG;10907535;16157275;
1033;R50938 DESIGN GO;10907586;10902943;O_SUP334
1136;R55531 RUSSIAN CAVIAR HOUSE;30535632;0;
1002;R63835 BAT INTL (ROTHMANS INT);10907332;0;
263;R888888 псяр хмйнпонпщиред;45120595;11390230;I_SUP002
876;R89732 RUSS BERRIE UK LTD;10907374;0;
434;R99999 ROSALKO-NEVA ZAO;0;13698064;
1133;RB7777 ROBERTO BRAVO;44909073;0;
433;RC12345 ROBERTO CAVALLI - едхмюъ ебпною;0;15439549;
268;S01607 SHISEIDO;0;16223584;
879;S01607 SHISEIDO EUROPE;10907536;0;O_SUP166
1137;S03853 SCANNON / GUCCI P&G;10907425;16223232;
271;S10000 SONYA RYKIEL;10907470;16223229;
443;S10001 SELDICO OLD;0;10903002;
883;S10014 SAMSONITE EUROPE;10907377;0;
888;S10103 STORCK INTERNATIONAL;10907228;0;
1146;S10116 ST.DUPONT;10907428;0;
890;S10133 SWAROVSKI JEWELLERY;10907281;0;O_SUP306
1148;S10134 SWAROVSKI WATCH;18455689;14012059;
437;S10333 SCORPIO TRAVEL RETAIL;0;11450576;
273;S10444 SWAROVSKI DP JEW;0;10903005;
274;S10445 SWAROWSKI DP FIGURINS;0;13976024;
276;S10500 ннн яюйя хцпсьйх;45123641;16222994;I_SUP105
894;S11001 SILHOUETTE INT;10907471;0;O_SUP316
435;S13579 SAG TRADING LLC;0;15964075;
279;S14444 SAMSONITE;0;14046274;
440;S20002 SELDICO GIVENCHY;0;13978109;
441;S30003 SELDICO GUERLAIN;0;13978110;
900;S33333 SOUNDLINE;10912490;0;
1070;S35353 JFM HELLO KITTY;32634464;0;
442;S40004 SELDICO KENZO;0;13978111;
439;S50005 SELDICO DIOR;0;13978112;
282;S54321 SISLEY;0;15968003;
283;S60006 SELDICO FENDI;0;15116112;
1140;S60017 SERGE LUTENS SHISEIDO;43209096;0;
284;S65432 STORK TRAVEL RETAIL;0;13473946;
285;S67891 SHAIKH ESTERK;45124013;16222987;
904;S70216 OMEGA WATCHES;10907381;0;
905;S84443 SWAROVSKI SKY;10907336;0;
438;S88888 SEEBERGER;0;16222282;
906;S99989 SWAROVSKI SILVER CRYSTAL;10907473;0;
444;S99999 STETSON;0;16222281;
1145;SB23333 SONYA BY;45120762;0;
1138;SC12345 SCORPIO TRAVEL RETAIL;13720558;16147138;
