supplier_id;name;swsdfid;swsdpid
987;A03333 AGATHA;32030763;15061294
988;AR10016 AGATHA RUIZ DE LA PRADA PUIG;21046073;16223624
989;O45566 AJ ARABIA наяхдхюмр;45124635;16223552
990;AJ00001 AJMAL;45124188;0
991;AJ5545 ALEXANDRE J лхмхсл;45123556;16222783
992;A54321 ALLIED BRANDS;22424977;0
993;AO12345 ALYSON OLDOINI INTERLUX 2;45125271;0
994;I65432 ALYSON OLDOINI. INTERLUX;45123572;16222786
995;A44444+ AMADEUS;12922092;0
996;O65321 AMOUAGE наяхдхюмр;37985082;16147160
998;AS33354 ASHFORD;45124219;0
999;M10096 AYDYA LTD TRAVALO MC;45121261;15981555
1000;B99911 BAIKAL JSL;45120829;0
1002;R63835 BAT INTL (ROTHMANS INT);10907332;0
1003;BE56565 BEGEMOT;45120899;0
1004;B33333 BELVEDERE;28366568;0
1005;B14673 BIOTHERM PBI;10907549;14348260
1006;B51551 BISQUIT COGNAC;30663658;0
1007;BS55545 BODY SHOP;43252561;16222668
1008;B11555 BONA 000;18666543;12499656
1010;B10044 BROWN FORMAN BEVERAGE;10907440;0
1011;R10060 BVLGARI;10907277;16032127
1012;Y10010 CALVIN KLEIN UNILEVER COTY;10907285;0
1013;C05723 CAMUS INTERNATIONAL;10907391;0
1014;IL98765 CARON хо хкэхмю;42548796;15962875
1015;C10023 CARRERA JEWELLERY;10907488;0
1016;C10031 CARTIER INT FASHION;10907552;0
1017;C96385 CEDC;42829327;0
1018;C55555 CELLCOSMET & CELLMEN;31846685;0
1020;L10013 CHLOE COTY;10907406;16223587
1021;C31805 CHRISTIAN DIOR;10907189;15316079
1022;C21212 CHURCHILLS;28487171;14832869
1023;CK11111 CK WATCH & JEW CO;20820656;0
1024;C10032 CLARINS SWAROVSKI;28413105;0
1025;C10020 CLINIQUE E.LAUDER;10907445;0
1026;я76123 CLOUDZ TRAVEL ACCESSORIES;45121166;16222284
1028;CO78404 COCOROSE;37872437;0
1029;A25555 CONSTELLATIONS BRANDS SCHENLEY INC;28142960;0
1030;CM00006 CREME DE LA MER E.LAUDER;25775436;0
1031;C10300 CRISTALL-LEFORTOVO OOO;30320649;0
1032;D50010 D&G P&G;24892618;0
1033;R50938 DESIGN GO;10907586;10902943
1034;P10095 DIESEL PBI;12560437;0
1035;D30030 DOLCE & GABBANA MAKE-UP P&G;45123004;0
1036;L00001 DONNA KARAN E.LAUDER;10907316;0
1037;DZ55555 DREVO ZHIZNI OOO;42073729;15962795
1038;DU55545 DUC D`O;45123194;0
1039;DK33331 DYRBERG KERN;45123595;15981228
1040;E86421 EASTPAK;33678924;0
1041;E03033 EDOX;32653273;16080150
1042;ES12345 ELIE SAAB BPI;28431636;0
1043;E12345 ES.MOLECULES ESTERK;16904957;14122386
1045;I54333 F.BOCLET INTERLUX;44185425;16152907
1046;FB11123 F.BOCLET INTERLUX 2;45125270;0
1047;FP11111 F.PARTNERS OOO;34335099;0
1048;F66321 FAZER BRANDS INTERNATIONAL;45120563;0
1049;F35291 FENDI PARFUM;24207694;15968000
1050;FE1234 FENDI SILK SA;14416973;0
1051;FO45678 FOSSIL;36154934;0
1052;G55551 GANCIA;42565904;0
1053;GS12345 GOLDEN SPIRIT SA;39810224;0
1054;G54321 GOURJI (RUB);26082124;0
1055;G37123 GREATWELL INVESTMENTS LTD;17129947;0
1056;AD12468 GREENFIELD INTERVEST LTD;42565954;0
1057;G59870 GUCCI;42828643;0
1058;G93124 GUERLAIN PARFUMS;10907504;15981117
1059;H1234 HERMANN JOERSS;18537636;0
1060;H66500 HIBWAY LTD. T/A SAFFON SUPPLY SERVICES;45124563;16223555
1061;IL98766 HISTOIRES DE PARFUMES хо хкэхмю;44513352;16164160
1062;IL98767 HOUBIGANT хо хкэхмю;44513353;16164158
1063;E33961 HUGO BOSS P&G;10907254;0
1064;I55588 IAN MACLEOD DISTILLERS LTD;32456993;0
1065;V00112_ IMMAGINE S.R.L (VERSACE);15452243;0
1066;J10142 JAGERMEISTER;43914265;0
1067;J00007 JAMES BOND P&G;42793944;0
1068;J52222 JANEKE;24722453;0
1069;B10028 JEAN PAUL GAUTIER BPI;10907293;0
1070;S35353 JFM HELLO KITTY;32634464;0
1071;JV55555 JFM VICTORINOX;33274118;0
1072;A20033 JOHN RICHMOND EUROITALIA;28446164;0
1073;JL11115 JUDITH LEIBER ESTERK;36594517;0
1074;J12345 JUPITER OOO;23738398;0
1075;K65432 KAGANSKI & CO GMBH;37442640;0
1076;K56999 KASKAD LOGISTIC;26205725;0
1077;K54321 KIEHL'S PBI;26182997;0
1078;KI12345 KINSKI ESTERK;37509375;0
1079;KF33315 KORLOFF INTERLUX 2;45125272;16223620
1080;M54789 LA MARQUISE;34274819;0
1081;LA33312 LAMARTIS;45120901;0
1082;L10014 LANCASTER COTY;25616944;0
1083;L99908 LANCEL BOUTIQUE;30771147;0
1084;A77332 L'ATELIER;45121220;0
1085;L44115 LAVIANA ART LIMITED;43147037;0
1086;LC0001 LES CONTES;40531999;15358688
1087;L99999 LES COPAINS (BVM);22245319;0
1088;L17000 LIFETRONS;45121260;15975634
1089;L54321 L'OCCITANE;20475049;14867972
1090;LP22222 L'OREAL PARIS;29342664;13934538
1091;L13579 LUDING OOO;34495127;15840663
1092;MT12345 MAGIC TEXTILE TRADING LTD;39279514;0
1093;M87654 MAISON MARTIN MARGIELA PBI;37221726;0
1094;M88899 MARCHON UK LTD;10923909;0
1095;M99945 MARKA;44667433;0
1096;M22223 MARUSYA BEVER RUSS OOO;25951767;0
1097;E55547 MASQUE EXILITY;44514880;16165068
1098;M99999 MAUI JIM SUNGLASSES;13641521;0
1099;M55555 MAV;40529713;0
1100;M99989 MAXXIUM TRAVEL RETAIL;10907325;0
1101;M12456 MEDVED TD OOO;40267364;0
1102;M75321 MEIRA T;42567702;0
1103;IL98768 MEMO хо хкэхмю;44513354;16164156
1104;MP55555 MEPI;15934937;13934708
1105;MHCS001 MHCS-SERVICE CLIENT&OPERATIONS LOGISTQUES;22297157;0
1106;M20002 MONTBLANC SIMPLO GMBH;10907269;0
1107;M20031 MOSCHINO EUROITALIA;19241819;16064645
1108;R35840 N.RICCI PUIG;10907535;16157275
1109;N55555 NAT OOO;32300083;0
1111;OK00364 OB KONDITERY OOO;43239345;15981118
1112;A12345 OOO AUGUST GROUP;45124718;11254622
1113;E12468 ESTERK;25843088;16223481
1114;BIK1113 OOO BIK;45124232;16223339
1115;D12329 OOO цй дюилнмд;43267543;0
1116;L10020 OPI COTY;38035218;0
1117;OV55550 OVERSEAS;45124213;0
1118;P85858 PAL ZILERI;16332029;0
1119;P65656 PAL ZILERI LAB;45120830;0
1120;P99988 PATRON SPIRIT COMPANY;16584038;0
1121;E55551 PECCATO EXILITY;45120567;16222203
1122;P97531 PERRIS MONTE CARLO INTERLUX;45125116;16223541
1124;PI99999 PIANEGONDA;12336953;0
1125;P87654 POLICE TIME WATCHES;29316730;0
1126;P11115 PORTOLANO;14919314;0
1128;IL98769 PRUDENCE хо хкэхмю;44513355;16164157
1129;E55545 RAMON MOLVIZAR EXILITY;40173724;15855616
1130;R20012 RANCE;40530149;15233566
1131;C69999 RASKAT TD;35299122;0
1132;E10051 RATTI;10907359;0
1133;RB7777 ROBERTO BRAVO;44909073;0
1134;E55548 ROSE & CO EXILITY;44514881;16165069
1136;R55531 RUSSIAN CAVIAR HOUSE;30535632;0
1137;S03853 SCANNON / GUCCI P&G;10907425;16223232
1138;SC12345 SCORPIO TRAVEL RETAIL;13720558;16147138
1139;SF25836 SCUDERIA FERRARI;42567736;16222266
1140;S60017 SERGE LUTENS SHISEIDO;43209096;0
1141;E55549 SEVIGNE EXILITY;44514882;16165070
1142;M55545 SIA MONO;40062409;0
1143;SI1234 SISLEY;20248912;0
1144;SK55511 SKAGEN;42567128;0
1145;SB23333 SONYA BY;45120762;0
1146;S10116 ST.DUPONT;10907428;0
1147;ST65545 STROCHKOV IP;43255349;0
1148;S10134 SWAROVSKI WATCH;18455689;14012059
1149;SM12345 SWISS MILITARY - HANOWA;30337724;0
1150;SS00011 SWISS SMILE;25925276;15963513
1151;TD1175+ SWK;12978513;0
1153;T12468 TALIKA;44550935;14113498
1154;O55533 TDK (ORO GOLD);45125285;16223627
1155;TM77717 TECHNOMARINE;26195164;15880368
1156;TM1111 TIME & MORE E.K;42523062;15949607
1157;T87654 TMXF OOO;22606740;0
1158;T05555 TOCHKA OPORY+;28821448;0
1159;L00007 TOM FORD BEAUTY E.LAUDER;20257031;0
1160;T01015 TOM FORD PRIVATE BLENDS E.LAUDER;26043347;0
