Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
AKG               	AKG                      	AKG	1	45122414	AKG                      
B01493            	Alaia                    	ALAIA	1	45125536	ALAIA                    
ALCOM ACTIVE      	Alcom Active             	ALCOM ACTIVE	1	45122845	ALCOM ACTIVE             
B00828            	ALEXANDER GRAPPOLO       	ALEXANDER MCQUEEN	0,6	45122555	ALEXANDER MCQUEEN        
B00829            	ALEXANDER MCQUEEN        	ALEXANDER MCQUEEN	1	45122555	ALEXANDER MCQUEEN        
B01457            	Alexandre J              	ALEXANDRE J	1	45123571	ALEXANDRE J              
ALVIERO MARTINI   	Alviero Martini          	ALVIERO MARTINI	1		ALVIERO MARTINI          
B01458            	ALYSON OLDOINI           	ALYSON OLDOINI	1	45123573	ALYSON OLDOINI           
AMARULA           	Amarula                  	AMARULA	1	45122291	AMARULA                  
B00830            	AMBASSADORS CHOICE       	SALVADORD	0,3		SALVADORD                
AMBER             	Amber                    	AMBER	1	45122185	AMBER                    
AMBREA            	Ambrea                   	BREO	0,5	45124886	BREO                     
AMICELLI          	Amicelli                 	LIMONCELLO	0,5	45122693	LIMONCELLO               
AMINOFF           	Aminoff                  	SMIRNOFF	0,6	45122148	SMIRNOFF                 
AMKA              	Amka                     	UMKA	0,7	45122811	UMKA                     
AMOUAGE           	Amouage                  	AMOUAGE	1	45122443	AMOUAGE                  
B00831            	AMPHORA                  	RALPH	0,4	45122747	RALPH                    
B01418            	ANGRY BIRDS              	ANGRY BIRDS	1	45125758	ANGRY BIRDS              
ANGRY BIRDS       	Angry Birds              	ANGRY BIRDS	1	45125758	ANGRY BIRDS              
ANGUILLA          	Anguilla Rums Ltd        	PAUILLAC	0,4	45126163	PAUILLAC                 
B00833            	ANNA CLUB PLUSH          	ANNA CLUB PLUSH	1	45122688	ANNA CLUB PLUSH          
ANNE KLEIN        	Anne Klein               	JANNEAU	0,5	45125415	JANNEAU                  
ANNICK GOUTAL     	Annick Goutal            	MOUTAI	0,4	45124074	MOUTAI                   
B00834            	ANTHON BERG              	MANTERO	0,4	45122499	MANTERO                  
B00835            	ANTICA MURRINA           	ANTICA MURRINA	1	45124870	ANTICA MURRINA           
ANTICA SAMBUCA    	Antica Sambuca           	ANTICA MURRINA	0,5	45124870	ANTICA MURRINA           
B00836            	ANTWERP DESIGN           	ANTWERP DESIGN	1	45124869	ANTWERP DESIGN           
APEROL            	AperolF                  	APEROL	0,9	45123170	APEROL                   
AQUA              	Aqua                     	AQUA	1	45123501	AQUA                     
ARAMIS            	ARAMIS                   	LAMARTIS	0,5	45122916	LAMARTIS                 
ARARAT            	Ararat                   	ARARAT	1	45122697	ARARAT                   
B01454            	ARCOROS                  	ARCOROS	1	45123322	ARCOROS                  
B00837            	ARDBEG                   	ARDBEG	1	45122374	ARDBEG                   
ARDBERG           	Ardberg                  	ARDBEG	0,7	45122374	ARDBEG                   
ARMANI            	Armani                   	Armani	1	45123976	Armani                   
ARMANI_EMP        	ARMANI_EMPORIO           	EMPORIO ARMANI	0,9	45122430	EMPORIO ARMANI           
ARMANI_GIO        	ARMANI_GIORGIO           	GIORGIO ARMANI	0,9	45122179	GIORGIO ARMANI           
ART LAIN          	Art Lain                 	ART LAIN	1	45123725	ART LAIN                 
B00838            	ARTISAN                  	LAMARTIS	0,6	45122916	LAMARTIS                 
ARTSHAVING        	ARTSHAVING               	ARTSHAVING	1		ARTSHAVING               
