GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122738;DANZKA                         ;;DANZKA                         ;DANSKA            ;DANZKA                         
45122160;DAVIDOFF                       ;;DAVIDOFF                       ;DAVIDOFF          ;DAVIDOFF                       
45125156;DEBRISE DULAC                  ;;DEBRISE DULAC                  ;;DEBRISE DULAC                  
45122872;DEFA                           ;16223295;DEFA                           ;;DEFA                           
45122599;DELAMAIN                       ;;DELAMAIN                       ;B00955            ;DELAMAIN                       
45122328;DELETE!                        ;;DELETE!                        ;;DELETE!                        
45122596;DELSEY                         ;16223052;DELSEY                         ;DELSEY            ;DELSEY                         
45122677;DENN                           ;;DENN                           ;;DENN                           
45122198;DESIGN GO                      ;16223218;DESIGN GO                      ;DESIGN GO         ;DESIGN GO                      
45122660;DESIGNER SHAIK                 ;16223047;DESIGNER SHAIK                 ;;DESIGNER SHAIK                 
45124202;DESIGUAL                       ;16223056;DESIGUAL                       ;;DESIGUAL                       
45123874;DEWARS                         ;;DEWARS                         ;DEWARS            ;DEWARS                         
45125053;DIAGEO                         ;;DIAGEO                         ;DIAGEO            ;DIAGEO                         
45122886;DICKIE TOYS                    ;16223308;DICKIE TOYS                    ;;DICKIE TOYS                    
45122715;DIE-CAST METAL&PLASTIC         ;;DIE-CAST METAL&PLASTIC         ;;DIE-CAST METAL&PLASTIC         
45122381;DIESEL                         ;;DIESEL                         ;DIESEL            ;DIESEL                         
45123145;DILAN                          ;16223138;DILAN                          ;DILAN             ;DILAN                          
45123864;DIOR                           ;16222706;DIOR                           ;DIOR              ;DIOR                           
45122721;DISNEY                         ;16223256;DISNEY                         ;DISNEY            ;DISNEY                         
45122703;DJECO                          ;16223301;DJECO                          ;;DJECO                          
45122277;DKNY                           ;;DKNY                           ;;DKNY                           
45124572;DOLCE_GAB                      ;16222633;DOLCE_GAB                      ;DOLCE_GAB         ;DOLCE_GAB                      
45123165;DOLLS                          ;;DOLLS                          ;DOLLS             ;DOLLS                          
45122267;DOM PERIGNON                   ;;DOM PERIGNON                   ;D_PERIGNON        ;DOM PERIGNON                   
45122356;DON JULIO                      ;;DON JULIO                      ;DON JULIO         ;DON JULIO                      
45122438;DONNA KARAN                    ;;DONNA KARAN                    ;DKNY              ;DONNA KARAN                    
45124876;DOOWELL                        ;;DOOWELL                        ;;DOOWELL                        
45122659;DOVE                           ;;DOVE                           ;DOVE              ;DOVE                           
45124284;DRACCO                         ;16223239;DRACCO                         ;B01470            ;DRACCO                         
45123655;DRAGON                         ;16222996;DRAGON                         ;DRAGON            ;DRAGON                         
